komentar,cleaned,sentimen,emosi
Kirim di nusakambangan hukum seumur hidup ..,kirim nusakambangan hukum umur,Negatif,Lainnya
Sakelas dokter etateh mengerikan,sakelas dokter etateh,Negatif,Takut
Hukuman paeh nu cocok na jang predator mah.,hukum paeh nu k na jang predator,Negatif,Lainnya
Orang tuanya hancur sejadi jadi nya.. kebanggan ortu jadi bajingaan,orang tua hancur se ban ortu jadi,Negatif,Lainnya
"Tag aja ke aja IDI, Unpad, Kemenkes, dan Menkes nyaa",tag aja aja menkes,Negatif,Lainnya
Eta beungetna pemain blue film jepang 😂😂😂,eta beungetna main blue film jepang,Negatif,Lainnya
Naha Asa Celeno Nya ...Curiga Salah tuang Obat ke alesan nana😂😂😂😂😂,nahsa celeno curiga salah tuang obat alesaana,Negatif,Lainnya
wilujeng di siksa nepi modar di bui,ilujeng siksa nepi modar,Negatif,Lainnya
Aku pernah hampir dil3c3h!n sama oknum dokter 😢 tapi tutup mulut sampe di diagnosa F2.3 😂😂😂😂 (sedang pengobatan),aku pernaampir dilch n sama oknum dokter p mulut sampe agnosa,Negatif,Sedih
Aya weh nu nyien rujit teh,aya eh nu nyien,Negatif,Lainnya
@_slsam ini ya sal yg km liatin td atau bkn,ya sal yg km liatin td,Negatif,Lainnya
"12 tahun yg bener aje lu pada, potong kanyutna sekalian meh kapok para bangsat sangean",tahun yg bener aje lu potong kanyutna sekali meh kapok bangsat,Netral,Marah
Naon nu dipikir sih setan,naou pikir sih,Netral,Lainnya
Pas ayah saya d IGD rshs banyak sekali dokter praktek .. dan ya begitulah meriksa nya karena lagi praktek.. sdikit kapok juga sih kalo k rshs ..,pas ayah d igd rshs banyak sekali dokter ya begitu meriksa nya lagi sdikit kapok sih kalo k,Negatif,Lainnya
"mulus kieu,, pasti jd cemilan para penghuni sel tahanan ieu mah,, lebok weh anying ahh😂 sing disiksa tah bo'ol na ku para tahanan😂",mulus jd cemilan huni sel tah ieu eh anying a sing siksa tah bo ol na ku tah,Netral,Lainnya
dokter goblog bangsat,dokter goblog,Negatif,Marah
Sekolah mahal mahal di pake kaya gitu hadeeehh malu maluin,sekolah pake kaya gitu hade,Negatif,Lainnya
Biaya kuliah miliaran sirna sudah. Pdhal dia tinggl nikah aja ya,biaya kuliah miliar sirna pdhal tinl nikah aja,Negatif,Lainnya
Eta beunget wibawa jeroanan jurig,eta beunget ibaa jero,Negatif,Lainnya
Dokter zaman sekarang 👏,dokter zaman sekarang,Negatif,Lainnya
Moal tenang hirup maneh nepi ka paeh,moal tenang hirup maneh nepi ka,Negatif,Lainnya
"Mangga viralkeun eta beunget na, netizen lakukan apa yg harus kalian lakukan kepada org itu",mana viralkeun eta beunget netizen laku apa yg kalian laku org,Negatif,Lainnya
"Untuk pelaku sudah diproses hukum oleh kepolisian, untuk satpam tolong manajemen @rshs_bandung ganti vendor nya karena menurut saya korban ga mungkin ngarang cerita dlm kondisi begini, @kemenkes_ri tolong lakukan audit menyeluruh rumah sakit RSHS dari staf paling bawah sampe dokter""nya kalo perlu rombak struktur organisasi jika dibutuhkan",laku proses hukum untuk satpam manajemen vendor nya turut korban ga mungkigarang cerita dlm kondisi laku audit seluruh rumah sakit rshs staf paling baah sampe nya kalo perlu rombak struktur organisasi,Netral,Lainnya
Mantep PRMF yg gini tuh ga mesti di blur,mantermf yini tuh ga mesti,Netral,Lainnya
"si cabyuuullll, keur goreng teh, kalakuanna goreeenggg 🗿",si keur goreng kalakuaa goreng,Negatif,Lainnya
Ripuh goblog!!!! Idiot ajg!!!,ripuh goblog idiot ajg,Negatif,Lainnya
Duh...menakutkan zaman skrg 😭😭,takut zaman skrg,Negatif,Sedih
NAON NU DIRASA ARI SIA,naou dirasri,Netral,Lainnya
Innalillahi wainnailaihi rooji'uun...😢😭,ialiahi aiailaihi rji,Negatif,Sedih
Na aplikasi marurah dok dari pada merkaos mah lebar titel menang cape,nplikasi marurah dok pada merkaos mah lebar titel menang,Negatif,Lainnya
"Benget jiga culun ,tapi sarakah sia mah jurig ,sangkilang Aya NU pamajikan.",benget jiga culun sara sia mah jurig aya nu,Negatif,Lainnya
Klo security yg katanya nanya2 ke korban dengan kata2 yg ga pantes gimana? Apakah ada updatenya juga? Apakah ada tindakan tegas juga dari RSHS nys?,klo securitg kata nanya korban kata pantes gimana updatenya apakah ada tindak tegas dari rshs nys,Netral,Lainnya
Jurig bungkeuleukan🤮,jurig bungkeuleukan,Negatif,Lainnya
Selamat Datang di Penjara..Cek wajahnya setelah masuk 1 minggu disana 😂,selamat datang cek ajahnya masuk mu sana,Negatif,Lainnya
Jangan terlalu banyak nyabu dok ehhhh😂,jangan terlalu banyak nyabu dok e,Negatif,Lainnya
Hukum seberattt mungkinnnn dong bang @ahmadsahroni88,hukum berat mungki dong bang,Negatif,Lainnya
Sungkem dulu @nbinsarrr_,sungkem dulu,Negatif,Lainnya
"Harus nya 20 THN , sementara korban seumur hidup trauma, cape "" jadi dr ujung nya di penjara ,, miris",nya thn korban umur hidup jadi dr ujung nya,Negatif,Takut
Mamprang min bengeutna di pampang jelas 🔥🔥🔥,mamprang min bengeutna pampang jelas,Negatif,Lainnya
"moal lila ge, aya kabar ""dokter cabul mati bunuh diri d sel""..",moaila aya dokter cabul mati bunuh diri d,Negatif,Lainnya
Innalillahi semoga almarhum Husnul khatimah,ialiahi semoglmarhum husnul,Netral,Lainnya
Jahat pisan dasar jurig!!,jahat pis dasar jurig,Negatif,Lainnya
Tah nu kieu jelema tolol teh!,tah nu kieu jelema t teh,Negatif,Lainnya
Dokter Residen?? Residen Evil meureun.😂,dokteesiden residen evil,Negatif,Lainnya
Mending hukum paeh percuma dipenjara sbrha taun ge gs kluar mh kitu deui moal aya kapokna,mending hukum paeh percuma penjara sbrha taun ge gs kluar mh kitu deui moal aya,Negatif,Lainnya
Mana nih mertua yang suka bangga2in menantunya dokter??,mana nih mertua suka banain menantu dokter,Netral,Lainnya
Tyityidnya bandel . Ga kenal umur . Playboy yg ga punya skill ! B14D48 !,dnya ga kenal playboa punya ski bd,Negatif,Lainnya
Sakit ni org,sakit ni,Negatif,Lainnya
"Sekolah kedokteran mahal-mahal, penuh perjuangan & pengorbanan. Endingnya harus begini hanya karena nafsu bedjatmu pak. Gak mikir jangka panjang apa?",sekolah dokter mahal penuh juang endingnya begini karefsu bedjatmu gak mikir jangka panjang apa,Negatif,Lainnya
Mengerikan aya dokter siga kieu,keri aya dokter siga,Negatif,Takut
Dokter jadi parnobka dokter sieun😢,dokter jadi parnobka dokter sieun,Negatif,Sedih
"Yg sakit ayahnya, tp knp anaknya juga sampe diinfus, apa sakit juga ?",yg sakit tp knp anak sampe apa sakit,Negatif,Lainnya
Innalillahi waina ilaihi rojiun 😢😢,ialiahi aina ilaihi rojiun,Negatif,Sedih
"Ya Allah, miris.. harus ada hukum jera agar hal ini tidak terulang.",ada hukum jergar ini,Negatif,Lainnya
Titah ngocok make balsem Geliga nepi hurung,titah ngocok make balsem geliga nepi,Negatif,Lainnya
Ih ingin berkata kasar tapi biar diwakilkan yg lain deh..,ih kata kasar biar akil yg,Negatif,Lainnya
Kelainan ini ..sayang ga terdeteksi sejak awal masuk FK..,lain sayana deteksi sejak aal masuk,Netral,Lainnya
"Harusnya d hukum seumur hidup, dikenai pasal berlapis, selain melakukan perkosaan, dia juga melanggar kode etik kedokteran, mengelabui korban dengan kedok profesinya, mencemarkan nama baik RSHS jg (harusnya RSHS jg menuntut korban untuk ini). Kasian korban akan trauma seumur hidup, semoga ada pendampingan dari konselor/psikolog untuk korban. Kita jaga identitas korban ya netizen jangan sampai tersebar, kasian banget ya Allah....doa kita semua untuk korban dan keluarga.",harus d hukum umur kena pasal berlapielain laku juga lanar kelabu korban kedok mencemarkaama baik rshs jg kasi korban trauma umur semogda damping konselor psikolog jaga identitas korban netizen jangan kasi banget doa semua untuorban,Netral,Takut
Lebar si amang teh ongkoh sakola tapi sifat ciga teu nyakola;((((,lebar si amang teh ongkoh sakola sifat ciga teu nyakola,Negatif,Lainnya
Berati di bius 3jam ya 😮,berat bius jam,Negatif,Lainnya
"Nah gini dong, pelaku gak disensor, korban disensor 👍🏻",nah gin laku gak korban sensor,Negatif,Lainnya
"Ari korban na sabara tahun? Njir eta dokter kurang duit kitu,, maenya teu mampu meli ka luar,,",ari korbaa sabara tahun njir eta dokter kurang duit teu mampu mel,Negatif,Lainnya
Teu kuat meren ngabagel hahaha,teu kuat meregabagel,Negatif,Lainnya
Laknatullah bejat banget,laknatuah bejat,Negatif,Lainnya
"Sakola tinggi tinggi meakeun biaya,asup bui 😢",sakola meakeun bui,Negatif,Sedih
"mun hadir keur gelar perkara, tong ditahan mun abi nyerenteng, hayang pisan neunggeul tah kana beungeutna,",mun hadir keur gelar tong tahan mun abi hayang pisaeuneul tah kana,Negatif,Lainnya
Satpam nu sungutna busuk kumaha? Proses oge atuh!,satpam nu sungutna busuumaha proses oge atuh,Netral,Lainnya
beungeut na hayang ngajejek,beungeut na,Negatif,Lainnya
"Belegug bin tolol ieu jelema cek aink michat beres, sakola mahal mahal ujung na kieu, tolol tolol hahaha",belegug bin t ieu jelema cek aink michat bereakola ujung na,Negatif,Lainnya
"Te ngajamin bager kasep ge, mending Abi hideng ge Sholeh cek si mamah eta ge",te ngajamin bager kasep mending abi hidene sholeh cek si h eta,Netral,Lainnya
Geus muka grosir atawa matrial sateh ka lebar lebar jd dokter..ari rek serikitiw mah,geus muka grosir ataa matrial sateh ka ari rek serikiti,Negatif,Lainnya
"bagus nih photo pelaku terpampang nyata, kalo ketemu di jalan kan enak bisa di sikat",bagus nih photo laku pampang kalo ketemu jalan kan enak di,Netral,Lainnya
RIPUH KOKO. KULIAH ELIT...BO SULIT...biadab,kuliah bo,Negatif,Lainnya
Bahkan dirumah sakit pun tidak ada jaminan keamanan dan perlindungan,bahkan rumah sakit tidak jamin keam,Netral,Lainnya
Ktnya ada 2 org dokter?dgr2 berita?ko hanya 1?bagusss cpt di tindak,ktnyda org dokter dgr berita ko bagus cpt,Netral,Lainnya
"Sigana loba korbanna, jadi kebiasaan jigana,",sigana loba jadi kebiasn,Negatif,Lainnya
Di suntik 15 kali? 😮,suntik kali,Netral,Lainnya
"Satu org melakukan perbuatan buruk tp menjelekan nama baik beberapa lingkungan,,, lingkungan keluarga, lingkungan tempat tinggal, dan lingkungan instansi sekolah/kuliah",satu org laku buat buruk tp menjelekaama baik lingkung lingkung instansi sekolah,Negatif,Lainnya
DAPATKAN BAHAN BANGUNAN TERMURAH DAN TERLENGKAP DI BANDUNG Whatsapp : 081224608973 Tersedia pembelian lewat tokopedia dan shopee Jl. Ciwastra no. 139A,dapat bahan bangun murah lengkap bandung hatsa sedia beli leaokopedia shop ciastra,Negatif,Lainnya
loba teuing lalajo JAV,loba teuing jo,Negatif,Lainnya
Nu rek ngilu ngontrog ka imah na☝️,nu rek ngilu ngontrog ka imah na,Negatif,Lainnya
"Terus apa yg harus kita percaya, disemua lini bnyak oknum nya",terus apa yg kita semua lini bnyak oknum,Negatif,Lainnya
KNTL NA KUDU DI BALSEMAN,kntl na kudu,Netral,Lainnya
Bawa k tempat khitan 5x potong kitu biar eweuhan,baa k tempat khitan x potong kitu biar,Negatif,Lainnya
PRFM juara infonya,prfm juara,Positif,Lainnya
"12tahun hukuman ga berarti apa2.. Cabut kedokterannya dan blacklist semuanya, hukuman seumur hidup baiknya..",tahun hukum ga arti cabut kedokteraya blacklist hukum umur hidup,Negatif,Lainnya
Pelaku kedua nya yg mn ya? Apa belum ketauan?,laku dua nya yg mn apa tau,Negatif,Lainnya
"Ku kapikiran nya,culamitan dokter teh",ku kapikiran dokter,Negatif,Lainnya
Tag ig na urng serang,tag ig na urng,Negatif,Lainnya
padahal bengeutnya jiga orang bener,padahal bengeutnya jiga orang,Netral,Lainnya
Ceuk urg hayang mah jajan w atuh nya Meli maenya teu kabayar mh,ceuk urg hayang mah n atuh nya mel maenya teu kabayar,Negatif,Lainnya
Rek berobat ge sakalina teu malpraktek ajang uji coba dokter anyar nya diewe 🤣 ruksak koat ka dokter bisa kikituan 👍,rek obat ge sakalina teu malpraktek ajang uji coba dokter anyar nya diee ruksaoat ka dokter tuan,Positif,Lainnya
"Paham, knp smp butuh anestesi skg 😂😂",knp smp butuh anestesi skg,Negatif,Lainnya
Hukum kebiri harusnya ada yaa😡,hukum kebiri harusnyda y,Negatif,Marah
"baca dimana td, katanya ada 2 tersangka ya?",baca katanyda sangka,Negatif,Lainnya
Jelma gering!,jelma gering,Negatif,Lainnya
Sunat nepika beak tong make laser tapi make gunting,sunat nepika beak tong make laser make,Negatif,Lainnya
Ya Allah doublekill bgt udah di lecehin ayah meninggal ga kebayang sakit nya gmnaa😢,yah doubleki bgt udah lecehin ayah tal ga bayang sakit nya gmn,Negatif,Sedih
"Nu kieu mah moal lila di penjara na ge, sabulan ge geus jd mayit, beak ku napi nu lain kasus kie mah, ka petugas geura siapkeun weh kantong mayat na keur makhluk ieu",nu kieu mah moaila penjara na sabulan us jd beau napi nu kasus kie ka tugas geura siapkeun eh kantong mayat na keur makhluk,Netral,Lainnya
12 thn sajah😢,thn sajah,Negatif,Sedih
"loba teuing nntn fakedoctor jadi kitu tah,uji praktek marukan ma si anj teh😂",loba teuing tn fakedoctor jadi kitu praktek maru ma si anj teh,Negatif,Lainnya
"Kenapa hanya di penjara saja, cabut dong gelar dokternya. Karena ini sudah tidak mencontohkan sebagai dokter.",hanya penjara cabut donelar ini tidak contoh,Negatif,Lainnya
Siksa heula Tah sakalian Jeung satpam na,siksa heula tah sakalian jeung satpam,Negatif,Lainnya
Penasaran cewek yang dibius rupanya kyak apa,penasaran ceek bius rupa kyak,Negatif,Lainnya
Mirip mirip si Onoh ya 😂😂,si onoh,Netral,Lainnya
katanya ada beberapa orang pelakunya kok cuma 1 orang yg diperlihatkan mukanya,katanyda rapa orang laku kok cuma orang yg lihat,Negatif,Lainnya
Sparing jeung aink enggal,sparing jeung aink,Negatif,Lainnya
"Liat dokter nya ada nip nya ga, kalo gak ada nip nya berarti tdk terdaftar di dinkes, hati hati ya para wargi dalam berobat 🙏🏻",liat dokter nyda nip nya kalo gak nip nya arti tdk daftar para argi obat,Negatif,Lainnya
Ya Allah nyaah teuing bageur geulis 😢 ...Allahummaghfurlaha warhmhu wa'afihi wa' fu'anhu buat bapaknya neng 🤲 ...buat pelaku dokter biadab hukuman mu bukan hnya d akherat kelak tapi d dunia pun kmu akan merskan hukuman yg LBH pedih drpd trauma si anak yg kamu dzolimi 🤲,yah nyh teuing bageur geulis aahuaghfurlaha arhmhu a afihi a fu anhu buat bapak neng buat laku dokter biadab hukum mu bukan hnya d akherat kelak unia kmu merskan hukum yg lbh pedih drpd trauma si anak yg kamu dzolimi,Negatif,Sedih
Aslinya orang mana sih tuh dokter,asli orang mana sih tuh,Negatif,Lainnya
Di RSHS bibii @coemaniez82,rshs i,Netral,Lainnya
Kurang lama.. maksimal seumur hidup..,kurang maksimal umur,Negatif,Lainnya
Kamu segoblok itu!!! Mudah2an balasan kamu terima di penjara,kamu goblok mudah balas kamu terima,Negatif,Lainnya
Aduh anjirrr 😢,aduh anjir,Negatif,Marah
Geliga merah sudah menanti 👏👏🔥,geliga merah nanti,Negatif,Lainnya
Kudu dikereut hulu handapna,kudu dikereut hulu,Netral,Lainnya
"nah gt dong di publish mukanya jelas, no sensor",nah gt dong publish muka no,Negatif,Lainnya
Jangan2 banyak korbannya😢,jangan banyaorbaya,Negatif,Sedih
Belegug jelema teh,belegug jelema,Negatif,Lainnya
Eh naha perih ?? Serius nnya,eh naha perih serius,Negatif,Lainnya
Duh dokter gejul. Cina beungeutna...kalskuan...dunat deui tsh dempeskeun,duh dokter cina dunat deui tsh,Negatif,Lainnya
Coba barangkali korbannya banyak tuh,corangkali korbaya banyak,Negatif,Lainnya
Tah kieu tong di sensor2 kalo bisa sekalian sama akun sosmed nya min...,tah kieu tong sensor kalo sekali samkun sosmed nya,Netral,Lainnya
"Gak kebayang kalo orang ini jadi spesialis kandungan,,,,,😢😢",gaebayang kalrang jadi,Negatif,Sedih
"Modelan kieu mah ngan awalna we diséksa ku ordaL, selanjutnya diperes duitna mun hayang salamet",model kieu mah ngan aalna e dis ksa ku lanjut peres duitna mun hayang,Negatif,Lainnya
Sunatan deui nu kieu mah!!!,sunat deui nu kieu mah,Netral,Lainnya
Musang b1rHi kebri gak!,musang brhi kebri gak,Negatif,Lainnya
"Mun aya keneh gunting urut operasi di RS, cing pang nekteukeun manukna atulah...tuman.",mun aya keneh gunting urut operasi cing pang nekteukeun,Negatif,Lainnya
Kenapa ga jajan aja Bos.. kasihan korbannya.. Istigfarr 😢,ga n aja kasihan istigfa,Negatif,Sedih
Sayang sekali masa depan hancur gara gara kenikmatan sesaat. 😢😢,sayang sekali masa depan hancur nikmat,Negatif,Sedih
geus miliaran kluar ggl jd dokter. hyg ewita tinggal k pmjikan weh atuh nya.. ieu mh dokter bedah nu geuring. kudu d bedah piceun ka lautt...,geus miliar kluar l hyg eita tal k pmjikan eh atuh ieu mh dokter bedah nu kudu d bedah piceun ka,Negatif,Lainnya
Serem.. ga ada tempat aman dimana pun..,gda tempat aman,Negatif,Lainnya
"Dokter bejad moral, hirupna loba teuing dikuasai logika😁",dokter bejad hirupna loba teuing asai logika,Negatif,Lainnya
"Hahahaa bahaya ga tuh 😂😂😂 calon dokter dan ganteng"" ladiesss",h bahaya ga tuh calon dokter,Negatif,Takut
Carana kieu mah kudu di balseman si bobogaan na ieu mah,carana kieu mah kudu balseman si ga ieu,Negatif,Lainnya
Mantaappp tah raray terpampang nyata 👏,mantp tah y pampang nyata,Negatif,Lainnya
Wajah kasep sekolah kedokteran sayang akhlak nya bejat,ajah kasep sekolah dokter sayang akhlak nya,Netral,Lainnya
jigana korban lain 1-2,jigana korban,Negatif,Lainnya
Hah memasukan jarum sampe 15x???? Teu bisa nginfus??? Astagfirulloh y Alloh turut prihatin untuk korban dan keluarga nya,hah pasu jarum sampe x teu nginfus astagfiruoh y aoh turut prihatin untuorban keluarga,Netral,Lainnya
"Pdhl spek minantu idaman mitoha, astaghfirullah naudzbllh...",pdhl spek mantu idam mitohstaghfiruah,Negatif,Lainnya
Hadeuh gak ngerti lagi,hadeuh gak ngerti,Negatif,Lainnya
Sarieun ehh...te aya nu tiasa dipercanten zaman kiwari mah😢,sarieun te aya nu tiasa dipercanten zaman kiar mah,Negatif,Sedih
Oranglain mahal-mahal sekolah kedokteran. Eh ini malah kayak gini 😢,oranglain mahal mahal sekolah eh malah kayak gin,Negatif,Sedih
nah gini kn jls,nah gin kn,Negatif,Lainnya
Hidden by Instagram,hien by,Negatif,Lainnya
Kok hukumannya murah banget 12 tahun doang wkwkkw negri konoho,kok hukumaya murah banget tahun doang k negri,Negatif,Lainnya
Nah gini donk JANGAN DISENSOR... Goodjob PRFm,nah gin donk jangan gdjob,Netral,Lainnya
"Min, satpamnya juga spill dong! Geram nih dengan komentar nirempatinya!",satpam spi dong geram nih komentar nirempatinya,Marah,Marah
Hawa Nafsunyaaaa menghancurkan karir dan hidupnya sendiri!!!,haa nafsuny hancur karir hidup sendiri,Negatif,Lainnya
Ni orang hrus digabung satu sel dengan reynhard sinaga..,ni orang hrus gabung satu sel reynhard,Negatif,Lainnya
ini indonesia bukan jepang dok haduhhhhhhhhh,inndonesia bukan jepang dok,Negatif,Lainnya
Langsung dj otopsi ku dokter forensik weh pelakuna,langsung dj otopsi ku dokter forensik eh,Netral,Lainnya
pdhl tampangna jiga nu bageur..tnyata cover doank...apa akibat stress atau mmg udh tabiat?🤔🤔🤔,pdhl tampangna jiga nu tnyata cover apkibat stre g udh tabiat,Negatif,Lainnya
Nafsu sesaat hancur segalanya,nafsu sest hancur,Negatif,Lainnya
"Nah gini donk kalau ada pelaku kejahatan jgn di blur atau dipakein masker ,, meskipun jijik liat mukanya",nah gin donalau laku jahat jgn blur dipakein k liat,Negatif,Lainnya
Eta si goblog..doktor cabul..org mau berobat ke rmh sakit malah di perkosa,eta si doktor org mau obat rmh sakit malah,Negatif,Lainnya
Sterilkeun gera meh teu asal nyoblos,sterilkeun gera meh teu asal,Negatif,Lainnya
Innalillahi wa inna illaihi rajiun,ialiahi a iaihi,Negatif,Lainnya
@universitaskristenmaranatha Waduuh alumninya nih parah,adh alumni nih,Netral,Lainnya
inget namanya blacklist di indonesia PRIGUNA ANUGRAH PRATAMA NGANU,inget nama blacklist dndonesia prigunnugrah pratama,Negatif,Lainnya
gmn bpk ibunya mendidik manusia ini ? kok bisa anaknya seperti ini . beri sangsi sosial yg berat. aplg ayah korban meninggal. hukum seberat beratnya!,gmn bpk ibu menk manusia kok bisnaknya beri sangsi sosial yg aplg ayah korban hukum senya,Netral,Lainnya
"Selamat nanti di sel pasti pelaku bakal ""disayang"" warga binaan yang lain,.",selamat di sel laku arga binn,Netral,Lainnya
HOROR pisaaaaan......tahap awal Rekonstruksi nya PELAKU BIUS TOTAL LEPAS DALEMANnya...langsung ajah diVASEKTOMI....setelah itu SILAHKAN PROSES HUKUMAN SEBERAT BERATnya DIJALANKAN.....sampe keluarga korban MENDAPATKAN PROSES HUKUM yg LEBIH ADIL.,h tahap aal rekonstruksi nya laku bius totaepas langsung ajah itu silah proses hukum senya sampe keluarga korban dapat proses hukum yg lebih,Netral,Takut
Wah Mun di bere dokter kandungan mana teing mana etelan😂😂,ah mun bere dokter kandung mana teing mana etelan,Negatif,Lainnya
12 Tahun doang Hukumannya? Perempuan itu udh dirusak masa depannya woy SEUMUR HIDUP TRAUMA,tahun doang hukumaya perempuan itdh rusak masa depaya oy umur hidup,Negatif,Takut
Jaaahattttt bgttt naudzubillah,jahat bgt,Negatif,Lainnya
Jeburken ka lauuutttt ...👹👹 Talian make bata,jeburken ka tali make,Netral,Lainnya
Seytan juga lgs insecure liat kelakuannya…,seytan lgs insecure liat kelakuaya,Negatif,Lainnya
Nah gini dong muka nya terpampang nyata,nah gin dong muka nya pampang,Negatif,Lainnya
JADI TAKUUT SAMA DOKTER UNPAD,jadi takt sama dokter,Negatif,Lainnya
Di kebiri titit nya,kebiri t,Netral,Lainnya
sekalian tangkap juga security yg ngmong nya senonoh dong ke korban😢,sekali tangkap securitg ngmong nya seh dong korban,Negatif,Sedih
Nama doang Anugrah kelakuan An.....!🔥 gak bisa sabar gue! masa skrg mau sakit aja kudu overthinking gila lu pada!,nama doang anugrah gak bibar gue masa skrg mau sakit aja kudu overthinkinila lu,Netral,Lainnya
@dedimulyadi71 kawal bapak sampai pelaku keseret semua..oknumnya banyak di rs ini bersihkan bapak..🙏🙏🙏,kaal bapak laku seret oknum banyak rs sih,Positif,Lainnya
"Pa @dedimulyadi71 lumayan piwarang melak tangkal, wengina talian dina tangkal",pa lumayan piarang lak engina tali dina,Negatif,Lainnya
Tega pisan dokter teh😢,tega pis dokter teh,Negatif,Sedih
Wajib tes kejiwaan para residen dokter² kyknya nih darurat banget kl udh pd lulus spesialis,ajib tes jin residen dokter kyknya nih darurat banget kl udh pd,Negatif,Lainnya
Manggs yg didalam lapas titip ciwit ku gegep...,mans yg dalam lapas p ciit ku,Negatif,Lainnya
Sumpah . Hayang Dab Deub . 🔥🔥,hayang dab,Negatif,Lainnya
dokterna birahi parah 😂,dokterna birah parah,Netral,Lainnya
"Padahal tampang nya kya org baik alim,,, ehh ternyata luar biasa 😂",padahal tampang nya kya org nyata luar biasa,Netral,Lainnya
Ga adil dong 12 tahun .seumur hidup atau hukum mati .,gdil dong umur hidup,Negatif,Lainnya
Titid Bermasalah Lagi dan Lagi !!!! 😡🤬,d masalah dan,Negatif,Marah
KorbanPerempuan rendom?,korbanperempuan rendom,Negatif,Lainnya
Dokter hanyir 🤪,dokter hanyir,Netral,Lainnya
Harusnya namanya diganti jadi *takguna aib keluarga*,harus nama ganti jadi takgunib keluarga,Negatif,Lainnya
SIA SIA GELAR DOKTER DICABUT DALAM SATU HARI GARA2 WEKUK,gelar dokter cabut satu hari gara,Negatif,Lainnya
Pasti nyogok sekolah kedokterannya,nyogok sekolah,Netral,Lainnya
Wajahnya kek orang bener y... Ternyata astaga.,ajahnya kek orang bener,Netral,Lainnya
@dedimulyadi71 gmn ini pak.. mohon dicek pak untuk pelayanan RSHS,gmn mohon cek pak pelay,Negatif,Lainnya
"Hukum yg berat jgn 12 tahun
Nyawa bayar nyawa..
Eunak banget cuma 12 tahun...huh",hukum yg berat jgn tahuyaa bayar eunak banget cuma,Negatif,Lainnya
Ripuh dokter teh,ripuh dokter,Negatif,Lainnya
"Spill ig nya, mau silaturahmi 🤬",spi ig mau silaturahmi,Negatif,Marah
Nu sakit ternyata dokternya 🫣🫣,nu sakiernyata dokter,Netral,Lainnya
@nenkkece03 kesukaan km kuncup kleper merah sipit 😂,kesukn km kuncup kleper merah sipit,Positif,Lainnya
Muka ganteng tapi kelakuan astaghfirullah...,muka ganteng laku,Negatif,Lainnya
Cabut smua ijin prakteknya,cabut smua ijin,Negatif,Lainnya
"Iris tipis2 anunya, tanpa anastesi tentunya 😂",iris tipis tanpnastesi tentu,Netral,Lainnya
"Kawal terus, katanya pelaku lebih dr 1 orang, curiga ni bocah jd tumbal seniornya 😂",kaal kata laku lebih dr curiga ni bocah jd tumbal senior,Negatif,Lainnya
"katanya ada 2 dokter residen, tp yang viral dan ketangkep cuma 1, mana yang satunya???",katanyda tp viral ketangkep cuma mana satu,Negatif,Lainnya
itu 2 residen? satu lg mana? berarti gak jd donor darah buat bapaknya si pasien ya?,residen satu lg mana arti gak jonor darah buat bapak si pasien,Negatif,Lainnya
"Kok ada 2, satu lg siapa ya?",kok satu lg siapa,Negatif,Lainnya
Curiga ini bukan yang pertama kali,curiga bukan pertama,Negatif,Lainnya
"Ini segala surat ijin2nya mesti dicabut sih, jangan sampe tuh orang bisa praktek jadi dokter lagi serem banget 😨",segala surat ijinnya mesti cabut jangan sampe tuh orang praktek jadi dokter rem banget,Netral,Takut
"Nah gitu dong, viralin wajahnya. Namanya juga. Biar ada rekaman jejak seumur hidup bisa di googling. Ada sejarahnya. Kecuali dia ganti nama.",nah gitu viralin nama biar rekam jejak umur hidup di kecuali ganti,Netral,Lainnya
"Bahaya ini kl nanti sampe lulus dan bertugas,bisa semakin banyak korbannya",bahaya kl sampe s makin,Netral,Takut
Udah viral wajahnya😂😂,udah viral ajahnya,Negatif,Lainnya
Pasti bukan pertama kalinya ngelakuin kaya gitu,bukan pertama kali ngelakuin kaya,Netral,Lainnya
"Bang, gak ingt sama susah nya mau jadi dr. Apa lagi sekrng LG ngambil ppds kah ??? Lu hancurin dalam sekejap?? 😢",banak ingt sama susah nya mau jadi apa sekrng lg ngambil ds lu hancurin kejap,Negatif,Sedih
@atangeduart nir ieu di RSHS nyak?,nir ieu rshs nyak,Negatif,Lainnya
Broo. Time to change profile. Again haha @ilhampps16,time to change again,Netral,Lainnya
Terus yg satunya mana? Katanya berdua,terus yg satu mana kata,Negatif,Lainnya
Nonton msbreww aja sih kalo sange,nonton msbre aja sih kalo,Negatif,Lainnya
"Cape"" sekolah kedokteran bukan nya ending nya pake baju putih malah baju orange😅 tapi beda sama suami aku tiap kali minta jatah ke suami selalu bentar doang,sebel deh😓",sekolah dokter bukaya ending nya pake baju putih malah baju orange beda sama suami aku tiap kali minta jatah suami selalu bentar deh,Negatif,Marah
Cabut izin prakteknya dan batalkan gelar dokter umumnya jugaa. IDI dan kampus harus tegas...,cabut izin praktek batal gelar dokter nya idi kampus,Netral,Lainnya
Apa susahnya sewa michat,apa susah sea,Negatif,Lainnya
"Jangan2 bukan pertama kali.... Tolong terus selidiki, supaya lebih berat hukumannya...",jangan bukan pertama supaya lebih berat,Negatif,Lainnya
